blood_bank_id,name,address,phone
b0082,Nashville Blood Center 000,"819 Beazer Lane, Nashville, TN, 37013",8063457366
b0720,Pueblo West Blood Center 001,"11 North Vineyard Drive, Pueblo West, CO, 81007",5463833980
b0297,Middlebury Blood Center 002,"161 Creek Road, Middlebury, VT, 05753",3055447064
b0426,Washington Blood Center 003,"1608 Gales Street Northeast, Washington, DC, 20002",5754616323
b0577,Arvada Blood Center 004,"8398 West 62nd Place, Arvada, CO, 80004",4118826484
b0649,Annapolis Blood Center 005,"1823 Dinger Road, Annapolis, MD, 21402",5026024228
b0511,Orange Blood Center 006,"3827 West Chapman Avenue, Orange, CA, 92868",9810027818
b0284,Manchester Blood Center 007,"345 Buckland Hills Drive#7, Manchester, CT, 06042",7958320055
b0741,Mesa Blood Center 008,"9828 East Pueblo Avenue, Mesa, AZ, 85208",6650363265
b0666,Savannah Blood Center 009,"2052 East 42nd Street, Savannah, GA, 31404",1425134655
b0135,Savannah Blood Center 010,"5 Hibiscus Avenue, Savannah, GA, 31404",5557735872
b0947,Montgomery Blood Center 011,"5331 Rexford Court, Montgomery, AL, 36116",4783063686
b0806,Louisville Blood Center 012,"2106 Standard Avenue, Louisville, KY, 40210",4114803939
b0013,New Bedford Blood Center 013,"2362 Acushnet Avenue, New Bedford, MA, 02745",2972340751
b0115,Edmond Blood Center 014,"1601 East 19th Street, Edmond, OK, 73013",2922785443
b0781,Elk Grove Blood Center 015,"5410 McLean Drive, Elk Grove, CA, 95757",3784130157
b0538,Washington Blood Center 016,"509 Franklin Street Northeast, Washington, DC, 20017",7675056576
b0660,Anchorage Blood Center 017,"7310 East Chester Heights Circle, Anchorage, AK, 99504",2080228993
b0117,Waltham Blood Center 018,"2309 Stearns Hill Road, Waltham, MA, 02451",6643526737
b0930,Louisville Blood Center 019,"13005 Mills Edge Court, Louisville, KY, 40272",9285072542
b0676,Annapolis Blood Center 020,"98 Lee Drive, Annapolis, MD, 21403",9757688506
b0564,Panama City Blood Center 021,"6718 Keithley Road, Panama City, FL, 32404",5080255687
b0035,Glen Burnie Blood Center 022,"8041 Elton Street, Glen Burnie, MD, 21060",3197655505
b0951,Louisville Blood Center 023,"15510 Champion Lakes Place, Louisville, KY, 40245",1127518764
b0320,Anchorage Blood Center 024,"5927 Camrose Drive, Anchorage, AK, 99504",6576202708
b0728,Derby Blood Center 025,"840 Fontaine Road, Derby, VT, 05829",9126516416
b0066,Oklahoma City Blood Center 026,"1915 Southeast 29th Street, Oklahoma City, OK, 73129",7574048114
b0390,Brookline Blood Center 027,"19 Euston Street#1F, Brookline, MA, 02446",6110333738
b0169,Pittsfield Blood Center 028,"25 Church StreetA, Pittsfield, MA, 01201",2785261342
b0575,Piedmont Blood Center 029,"2 Sotelo Avenue, Piedmont, CA, 94611",4866779994
b0554,Deale Blood Center 030,"1223 Delaware Avenue, Deale, MD, 20733",6528754301
b0793,Anchorage Blood Center 031,"4107 East 68th AvenueAPT D, Anchorage, AK, 99507",6912145981
b0019,Savannah Blood Center 032,"24 Haven Drive, Savannah, GA, 31406",5231721145
b0777,Fayetteville Blood Center 033,"2577 East Wyman Road, Fayetteville, AR, 72701",4231058510
b0826,Glendale Blood Center 034,"15253 North 62nd Avenue, Glendale, AZ, 85306",5392405139
b0288,Los Angeles Blood Center 035,"3905 Lyceum Avenue, Los Angeles, CA, 90066",3722276212
b0736,Montgomery Blood Center 036,"449 Saratoga Lane, Montgomery, AL, 36117",1580568809
b0494,Washington Blood Center 037,"6262 29th Street Northwest, Washington, DC, 20015",8378554146
b0211,Washington Blood Center 038,"1427 South Carolina Avenue Southeast, Washington, DC, 20003",5405132588
b0584,Louisville Blood Center 039,"1505 Rosewood Avenue#11, Louisville, KY, 40204",5192684705
b0713,Arvada Blood Center 040,"8785 Ellis Court, Arvada, CO, 80005",4641626494
b0296,Savannah Blood Center 041,"702 East 53rd Street, Savannah, GA, 31405",2164677029
b0383,Montgomery Blood Center 042,"2032 Gorgas Street, Montgomery, AL, 36106",3945841466
b0193,Derby Blood Center 043,"840 Fontaine Road, Derby, VT, 05829",4138568074
b0277,Washington Blood Center 044,"4672 A Street Southeast, Washington, DC, 20019",7614130766
b0614,Louisville Blood Center 045,"11102 Little Rock Court, Louisville, KY, 40241",9055119316
b0934,Arvada Blood Center 046,"6140 Fenton Street, Arvada, CO, 80003",6637825023
b0780,Livermore Blood Center 047,"330 Michell Court, Livermore, CA, 94551",1818467491
b0976,Annapolis Blood Center 048,"65 Bay Drive, Annapolis, MD, 21403",3530341271
b0344,Pooler Blood Center 049,"174 Village Lake Drive, Pooler, GA, 31322",6278106464
b0570,Norton Blood Center 050,"14 Olympia Street, Norton, MA, 02766",5386879836
b0308,Glen Burnie Blood Center 051,"113 Hammarlee Road, Glen Burnie, MD, 21060",6874551853
b0502,Glendale Blood Center 052,"6231 North 59th Avenue#35, Glendale, AZ, 85301",2474069207
b0455,Nashville Blood Center 053,"3109 Thistle Down Lane, Nashville, TN, 37013",6236701587
b0106,Harwood Blood Center 054,"4432 Cobalt Drive, Harwood, MD, 20776",8093139822
b0992,Fayetteville Blood Center 055,"412 West Ila Street, Fayetteville, AR, 72701",1032486377
b0939,Montgomery Blood Center 056,"7309 Live Oak Court, Montgomery, AL, 36117",8010452698
b0121,Fayetteville Blood Center 057,"1247 West Mount Comfort Road#110, Fayetteville, AR, 72703",4363131495
b0258,Arvada Blood Center 058,"13628 West 62nd Drive, Arvada, CO, 80004",3640415774
b0662,Montgomery Blood Center 059,"1217 Cottondale Road, Montgomery, AL, 36109",1218801953
b0752,Manchester Blood Center 060,"37 Rushforde Drive, Manchester, CT, 06040",3361237072
b0174,Montgomery Blood Center 061,"3426 Broadview Street, Montgomery, AL, 36110",6586883761
b0586,Wolcott Blood Center 062,"75 Calfoster Drive, Wolcott, VT, 05680",5768868446
b0213,Nashville Blood Center 063,"600 12th Avenue South#833, Nashville, TN, 37203",9323175652
b0597,Panama City Blood Center 064,"3035 Osprey Circle, Panama City, FL, 32405",8714267018
b0469,Louisville Blood Center 065,"120 North Hurstbourne Parkway#622, Louisville, KY, 40222",5321804883
b0312,Moore Blood Center 066,"1709 Queensbury Road, Moore, OK, 73160",3255229464
b0490,Fayetteville Blood Center 067,"1629 South Razorback Road#108, Fayetteville, AR, 72701",4325474265
b0113,Riverview Blood Center 068,"10802 Brickside Court, Riverview, FL, 33579",7644144247
b0895,Louisville Blood Center 069,"10129 Spring Gate Drive, Louisville, KY, 40241",7655405972
b0534,Savannah Blood Center 070,"109 East 64th Street, Savannah, GA, 31405",7802813255
b0607,Glendale Blood Center 071,"7841 West Kristal Way, Glendale, AZ, 85308",9210417499
b0030,Waltham Blood Center 072,"275 Ridge Lane#204, Waltham, MA, 02452",3204050135
b0807,Crofton Blood Center 073,"1630 Eton Way, Crofton, MD, 21114",4806836824
b0341,Oakland Blood Center 074,"1515 Excelsior Avenue, Oakland, CA, 94602",1484105998
b0922,Crofton Blood Center 075,"2008 Aberdeen Drive, Crofton, MD, 21114",9941718270
b0481,Foxborough Blood Center 076,"184 Oak Street, Foxborough, MA, 02035",3214182218
b0068,Castro Valley Blood Center 077,"6925 Lariat Lane, Castro Valley, CA, 94552",7328533920
b0944,Pasadena Blood Center 078,"8188 Poinsett Terrace, Pasadena, MD, 21122",4914157492
b0432,Barre Blood Center 079,"21 Hill Street, Barre, VT, 05641",8955816423
b0452,Panama City Blood Center 080,"2115 Honeysuckle Drive, Panama City, FL, 32404",4801123339
b0246,Manchester Blood Center 081,"200 West Center StreetA, Manchester, CT, 06040",9788130779
b0624,Montgomery Blood Center 082,"1815 Grove Hill Lane, Montgomery, AL, 36106",5616237642
b0629,Anchorage Blood Center 083,"410 West 89th Avenue, Anchorage, AK, 99515",2461124302
b0583,Fairlee Blood Center 084,"96 Lakehouse Drive, Fairlee, VT, 05045",3996083941
b0587,Anchorage Blood Center 085,"8043 Cranberry Street#APT 000001, Anchorage, AK, 99502",7734510412
b0924,Glendale Blood Center 086,"5011 West New World Drive, Glendale, AZ, 85302",3871169926
b0229,Savannah Blood Center 087,"519 Emerald DriveB, Savannah, GA, 31415",9644058883
b0855,Nashville Blood Center 088,"549 Elysian Fields Road, Nashville, TN, 37211",1524708384
b0792,Montgomery Blood Center 089,"5600 Carmichael Road, Montgomery, AL, 36117",4165173552
b0317,Goodlettsville Blood Center 090,"143 Canton Court, Goodlettsville, TN, 37072",7374266106
b0920,Manchester Blood Center 091,"123 Elizabeth Drive, Manchester, CT, 06042",2436781750
b0159,Glendale Blood Center 092,"6514 West Golden Lane, Glendale, AZ, 85302",2015212513
b0396,Edmond Blood Center 093,"14300 Leesa Lane, Edmond, OK, 73013",3094422735
b0694,Arvada Blood Center 094,"7256 West 84th Way#918, Arvada, CO, 80003",4538242807
b0839,Anchorage Blood Center 095,"3320 Peterkin Avenue, Anchorage, AK, 99508",4090246293
b0372,Louisville Blood Center 096,"8709 Peeble Lane, Louisville, KY, 40272",9692103626
b0850,Edmond Blood Center 097,"1713 Apian Way, Edmond, OK, 73003",4573308776
b0160,Pooler Blood Center 098,"307 Joel Street, Pooler, GA, 31322",9043720435
b0263,Colchester Blood Center 099,"294 East Lakeshore Drive, Colchester, VT, 05446",9128380031
b0640,Glendale Blood Center 100,"5929 West Via Montoya Drive, Glendale, AZ, 85310",8205371675
b0215,Oakland Blood Center 101,"474 Merritt Avenue, Oakland, CA, 94610",8220288805
b0685,South Burlington Blood Center 102,"233 Juniper Drive, South Burlington, VT, 05403",1690018324
b0001,Odenton Blood Center 103,"2142 Colonel Way, Odenton, MD, 21113",6618563712
b0556,Nashville Blood Center 104,"314 South 17th Street, Nashville, TN, 37206",7311713404
b0507,Berkeley Blood Center 105,"2511 Hearst Avenue#R 113, Berkeley, CA, 94709",4312008912
b0880,Anchorage Blood Center 106,"17480 Beaujolais Circle, Anchorage, AK, 99577",2681367697
b0240,Glendale Blood Center 107,"5843 West McLellan Road, Glendale, AZ, 85301",7644753328
b0641,Montgomery Blood Center 108,"8501 Twin Gable Drive, Montgomery, AL, 36116",6512477362
b0453,Severna Park Blood Center 109,"722 Oak Grove Circle, Severna Park, MD, 21146",8758481101
b0785,Panama City Blood Center 110,"7047 Vinson Road, Panama City, FL, 32413",4213123923
b0688,Washington Blood Center 111,"618 Ava Circle Northeast, Washington, DC, 20017",6664579021
b0170,Savannah Blood Center 112,"1125 West 41st Street, Savannah, GA, 31415",6318200476
b0997,Manchester Blood Center 113,"86 Highland Street, Manchester, CT, 06040",3704836256
b0540,Pasadena Blood Center 114,"1990 Poplar Ridge Road, Pasadena, MD, 21122",3415532616
b0173,Edmond Blood Center 115,"6500 Thurlow Place, Edmond, OK, 73034",6276056520
b0598,Marshfield Blood Center 116,"150 Meadowview Street, Marshfield, MA, 02050",9291266726
b0023,Crofton Blood Center 117,"2315 Kezey Court, Crofton, MD, 21114",2626548690
b0089,Arvada Blood Center 118,"8432 West 78th Circle, Arvada, CO, 80005",4992734006
b0661,Oklahoma City Blood Center 119,"2835 Southwest 78th Street, Oklahoma City, OK, 73159",4340203368
b0290,Arvada Blood Center 120,"6990 Pierson Street, Arvada, CO, 80004",9030184640
b0196,Port Charlotte Blood Center 121,"23480 Abers Avenue, Port Charlotte, FL, 33980",6505272453
b0963,Washington Blood Center 122,"513 10th Street Southeast, Washington, DC, 20003",5730761885
b0188,Manchester Blood Center 123,"194 Buckland Hills Drive#2010, Manchester, CT, 06042",7286678620
b0762,Manchester Blood Center 124,"429 Dennison Ridge Drive, Manchester, CT, 06040",8478278163
b0739,Pooler Blood Center 125,"150 Somersby Boulevard, Pooler, GA, 31322",1531867376
b0767,Rutland Blood Center 126,"5 Meadow Lane, Rutland, VT, 05701",7946210990
b0285,Crofton Blood Center 127,"2315 Kezey Court, Crofton, MD, 21114",6461573423
b0303,San Luis Obispo Blood Center 128,"101 Mustang Drive, San Luis Obispo, CA, 93405",1903006305
b0322,Panama City Beach Blood Center 129,"1505 Sweet Bay Trail, Panama City Beach, FL, 32413",5956303547
b0681,Panama City Blood Center 130,"1439 2nd Street, Panama City, FL, 32409",6226674008
b0433,Anchorage Blood Center 131,"2040 Innes Circle, Anchorage, AK, 99515",9952804274
b0239,Anchorage Blood Center 132,"6143 Prosperity Drive#APT 000001, Anchorage, AK, 99504",1921015285
b0985,Proctor Blood Center 133,"1 Pond View Road, Proctor, VT, 05765",5808839635
b0042,Odenton Blood Center 134,"1460 Berger Street, Odenton, MD, 21113",7747151174
b0394,Pooler Blood Center 135,"218 Durham Park Way, Pooler, GA, 31322",4147547048
b0409,Glendale Blood Center 136,"8427 West Glendale Avenue#202, Glendale, AZ, 85305",7710467779
b0339,Pooler Blood Center 137,"182 Regency Circle, Pooler, GA, 31322",9051835040
b0718,Glendale Blood Center 138,"5275 North 59th Avenue, Glendale, AZ, 85301",5526642001
b0572,Savannah Blood Center 139,"317 Windsor Road, Savannah, GA, 31419",5730273382
b0367,Savannah Blood Center 140,"5123 Ewell Street, Savannah, GA, 31405",9074580119
b0127,Savannah Blood Center 141,"36 Saint Ives Drive, Savannah, GA, 31419",1386247564
b0989,Nashville Blood Center 142,"718 Dutchmans Court, Nashville, TN, 37076",2372839958
b0892,Glendale Blood Center 143,"5065 North 54th Avenue#8, Glendale, AZ, 85301",7964667417
b0913,Edmond Blood Center 144,"3001 Spyglass Hill Road, Edmond, OK, 73034",9264444794
b0450,Arvada Blood Center 145,"6763 Depew Street, Arvada, CO, 80003",2083039773
b0495,Hartford Blood Center 146,"10 Skyline Way, Hartford, VT, 05001",1906710080
b0520,Fayetteville Blood Center 147,"306 East Lafayette Street, Fayetteville, AR, 72701",6613577931
b0398,Montgomery Blood Center 148,"713 Millard Fuller Drive, Montgomery, AL, 36110",1183763704
b0257,Union City Blood Center 149,"1701 Atlantic Street, Union City, CA, 94587",1572619378
b0456,Pasadena Blood Center 150,"8117 Mountain View Circle, Pasadena, MD, 21122",1882460935
b0536,Arvada Blood Center 151,"8671 West 78th Circle, Arvada, CO, 80005",9560826412
b0847,Montgomery Blood Center 152,"9457 Winfield Place, Montgomery, AL, 36117",8921423174
b0017,Peoria Blood Center 153,"6902 West Sherri Jean Lane, Peoria, AZ, 85382",6331424961
b0953,Glendale Blood Center 154,"6515 West Poinsettia Drive, Glendale, AZ, 85304",4858887516
b0693,Louisville Blood Center 155,"5707 Whispering Hills Boulevard, Louisville, KY, 40219",1922605524
b0362,Manchester Blood Center 156,"93 Hamlin Street, Manchester, CT, 06040",9244819039
b0599,Pueblo Blood Center 157,"1637 Delphil Street, Pueblo, CO, 81006",4254541383
b0253,San Leandro Blood Center 158,"16303 Mateo Street, San Leandro, CA, 94578",5685237501
b0595,Brentwood Blood Center 159,"5526 Thalman Drive, Brentwood, TN, 37027",2887427156
b0647,Glendale Blood Center 160,"8404 West Myrtle Avenue, Glendale, AZ, 85305",3581227600
b0371,Panama City Blood Center 161,"1906 Palmetto Avenue, Panama City, FL, 32405",9163086709
b0097,Oklahoma City Blood Center 162,"3420 Northwest 41st Street, Oklahoma City, OK, 73112",3840034380
b0790,Anchorage Blood Center 163,"7450 Wade Circle, Anchorage, AK, 99518",7625442501
b0405,Washington Blood Center 164,"2811 Battery Place Northwest, Washington, DC, 20016",2055768514
b0646,Savannah Blood Center 165,"151 Main Street, Savannah, GA, 31408",3852766675
b0907,Savannah Blood Center 166,"112 Coleman Boulevard, Savannah, GA, 31408",9650272849
b0973,Groton Blood Center 167,"981 Groton Long Point Road, Groton, CT, 06340",7407583977
b0871,Edmond Blood Center 168,"2121 Stepping Stone Trail, Edmond, OK, 73013",3495416022
b0219,Oakland Blood Center 169,"1515 Excelsior Avenue, Oakland, CA, 94602",8232782708
b0172,Glendale Blood Center 170,"6988 West Blackhawk Drive, Glendale, AZ, 85308",7147238089
b0111,Oakland Blood Center 171,"2042 High Street, Oakland, CA, 94601",4555180030
b0986,Anchorage Blood Center 172,"2613 Cottonwood Street, Anchorage, AK, 99508",2322411153
b0180,Savannah Blood Center 173,"1350 Exley Street#304, Savannah, GA, 31415",6943501809
b0775,Manchester Blood Center 174,"56 Channing Drive, Manchester, CT, 06040",1490705722
b0533,Fayetteville Blood Center 175,"120 North Block Avenue#5, Fayetteville, AR, 72701",2377301360
b0375,Washington Blood Center 176,"2716 30th Street Southeast, Washington, DC, 20020",5442857354
b0449,Louisville Blood Center 177,"3301 Nora Lane, Louisville, KY, 40220",6747043253
b0838,Savannah Blood Center 178,"322 East Taylor Street#1103, Savannah, GA, 31401",9280512734
b0261,Savannah Blood Center 179,"402 Tuten Avenue, Savannah, GA, 31415",1691485807
b0299,Livermore Blood Center 180,"1004 Bellflower Street, Livermore, CA, 94551",6928176394
b0988,Lynn Haven Blood Center 181,"803 Kay Lane, Lynn Haven, FL, 32444",9980778649
b0756,Glendale Blood Center 182,"7910 West Krall Street, Glendale, AZ, 85303",8453823919
b0194,Anchorage Blood Center 183,"16244 Seville Park Circle, Anchorage, AK, 99516",1100865980
b0161,Pooler Blood Center 184,"2170 Benton Boulevard#2107, Pooler, GA, 31322",9337050998
b0486,Nashville Blood Center 185,"615 Long Hunter Court, Nashville, TN, 37217",7970119799
b0962,Manchester Blood Center 186,"397 North Main Street, Manchester, CT, 06042",4971279588
b0392,Williston Blood Center 187,"833 South Brownell Road, Williston, VT, 05495",2481220504
b0047,Goodlettsville Blood Center 188,"143 Canton Court, Goodlettsville, TN, 37072",9964270098
b0857,Chester Blood Center 189,"2909 Flamstead Road, Chester, VT, 05143",7195124896
b0093,Cambridge Blood Center 190,"332 Concord Avenue, Cambridge, MA, 02138",5082815813
b0671,Arvada Blood Center 191,"8378 Cole Street, Arvada, CO, 80005",4267352879
b0345,Fort Collins Blood Center 192,"2409 Research Boulevard, Fort Collins, CO, 80526",2078531349
b0665,Anchorage Blood Center 193,"1413 G Street#STE 000001, Anchorage, AK, 99501",3154816590
b0592,Louisville Blood Center 194,"1216 West Hill StreetM, Louisville, KY, 40210",6655471552
b0578,Nichols Hills Blood Center 195,"1644 Queenstown Road, Nichols Hills, OK, 73116",2431775431
b0137,Arvada Blood Center 196,"7915 Depew Street, Arvada, CO, 80003",1271477622
b0965,Castleton Blood Center 197,"56 Daley Lane, Castleton, VT, 05732",3545716624
b0731,Lyndon Blood Center 198,"124 Rod Key Street, Lyndon, VT, 05851",6131834734
b0179,Fremont Blood Center 199,"4738 Mallard Common, Fremont, CA, 94555",2946480238
b0359,Medway Blood Center 200,"14 School Street, Medway, MA, 02053",6448557365
b0594,Nashville Blood Center 201,"2505 Shadow Lane, Nashville, TN, 37216",1460585541
b0182,Nashville Blood Center 202,"416 McIver Street, Nashville, TN, 37211",4935431927
b0293,Nashville Blood Center 203,"4109 General Bate Drive, Nashville, TN, 37204",6924113957
b0496,Vergennes Blood Center 204,"1628 Button Bay Road, Vergennes, VT, 05491",8185608186
b0656,Norman Blood Center 205,"2010 Rising Hill Drive, Norman, OK, 73071",4784502362
b0168,Louisville Blood Center 206,"1606 Trevilian Way, Louisville, KY, 40205",8384274632
b0330,Arvada Blood Center 207,"7822 Club Crest Drive, Arvada, CO, 80005",1577021538
b0086,Glendale Blood Center 208,"8427 West Glendale Avenue#202, Glendale, AZ, 85305",4970183961
b0483,Louisville Blood Center 209,"7905 Old Heady Road, Louisville, KY, 40299",1353875464
b0428,Arvada Blood Center 210,"11941 West 58th Avenue, Arvada, CO, 80002",6948683006
b0413,Boulder Blood Center 211,"275 South 40th Street, Boulder, CO, 80305",2721273691
b0906,Colchester Blood Center 212,"81 Reynolds Drive, Colchester, VT, 05446",1547643619
b0015,Montgomery Blood Center 213,"5470 Atlanta Highway, Montgomery, AL, 36109",8396310142
b0373,Arvada Blood Center 214,"6049 Quail Street, Arvada, CO, 80004",9965543940
b0353,Gambrills Blood Center 215,"2109 Puddingtons Patent Way, Gambrills, MD, 21054",1902684458
b0897,Mesa Blood Center 216,"130 West Brown Road, Mesa, AZ, 85201",7316170009
b0786,Glen Burnie Blood Center 217,"6518 Dolphin Court, Glen Burnie, MD, 21061",4324355654
b0729,Montgomery Blood Center 218,"1163 Rosedale Drive, Montgomery, AL, 36107",7084676545
b0038,Oklahoma City Blood Center 219,"3821 Southwest 25th Street, Oklahoma City, OK, 73108",3114811092
b0923,Newfane Blood Center 220,"578 Vermont 30, Newfane, VT, 05345",5376851796
b0606,Millersville Blood Center 221,"316 Sourwood CourtR, Millersville, MD, 21108",8071439313
b0307,Severn Blood Center 222,"8726 Downey Road, Severn, MD, 21144",8900880773
b0528,Louisville Blood Center 223,"1606 Trevilian Way, Louisville, KY, 40205",5565445941
b0136,Savannah Blood Center 224,"10 Dalry Lane, Savannah, GA, 31419",5814371033
b0823,Washington Blood Center 225,"421 Madison Street Northeast, Washington, DC, 20011",5495502487
b0002,Fayetteville Blood Center 226,"3141 North Lancaster Lane, Fayetteville, AR, 72703",5700731933
b0415,Panama City Blood Center 227,"939 West Beach Drive, Panama City, FL, 32401",4286544209
b0260,Nashville Blood Center 228,"7730 Wilkinson Road, Nashville, TN, 37080",5191532448
b0768,Washington Blood Center 229,"3728 9th Street Northwest, Washington, DC, 20010",4990863159
b0796,Hesperia Blood Center 230,"9036 Calico Court, Hesperia, CA, 92344",9283609091
b0789,Glendale Blood Center 231,"5601 West Missouri Avenue#165, Glendale, AZ, 85301",4792709855
b0144,Montgomery Blood Center 232,"533 Forest Ridge Court, Montgomery, AL, 36109",3400131444
b0348,Panama City Blood Center 233,"234 East Beach Drive, Panama City, FL, 32401",7427254249
b0818,Wolcott Blood Center 234,"4632 Vermont 15, Wolcott, VT, 05680",7183557023
b0365,Readsboro Blood Center 235,"2185 Howe Pond Road, Readsboro, VT, 05350",9262446054
b0621,Savannah Blood Center 236,"217 West Congress Street, Savannah, GA, 31401",2422135019
b0059,Pasadena Blood Center 237,"8597 Bay Road, Pasadena, MD, 21122",6278123106
b0888,Arvada Blood Center 238,"8300 Dover Way, Arvada, CO, 80005",1150751952
b0783,Manchester Blood Center 239,"35 Pilgrim Lane, Manchester, CT, 06040",4915321149
b0295,Glendale Blood Center 240,"5065 North 54th Avenue#8, Glendale, AZ, 85301",8484554779
b0313,Washington Blood Center 241,"3728 9th Street Northwest, Washington, DC, 20010",9200177971
b0910,Washington Blood Center 242,"1328 Tuckerman Street Northwest, Washington, DC, 20011",6963754880
b0251,Nashville Blood Center 243,"5434 Cedar Ash Crossing, Nashville, TN, 37013",6166063174
b0143,East Longmeadow Blood Center 244,"44 Elm Street, East Longmeadow, MA, 01028",3484153049
b0562,Manchester Blood Center 245,"351 Porter Street, Manchester, CT, 06040",2208338385
b0810,Manchester Blood Center 246,"197 Oak Street, Manchester, CT, 06040",1202179923
b0553,Fayetteville Blood Center 247,"239 Eastern Avenue, Fayetteville, AR, 72701",8745012906
b0460,Savannah Blood Center 248,"151 Main Street, Savannah, GA, 31408",5406608255
b0007,Panama City Blood Center 249,"7047 Vinson Road, Panama City, FL, 32413",5162107074
